case,n,N,h,sigma,kappa2,lambda_min,lambda_max,d_min,d_max,d_min_abs,d_max_abs,spectral_indicator,nearest_p,nearest_q,nearest_lambda,distance_to_nearest_lambda,num_positive,num_negative,num_near_zero,target_modes,delta,risk_min,risk_max,risk_at_nearest_mode
modified_sigma_plus_100,129,127,0.0078125,100.0,,19.738217925558274,131052.26178207443,119.73821792555827,131152.26178207443,119.73821792555827,131152.26178207443,1095.324985240822,1,1,19.738217925558274,,16129,0,0,,,-5.117775784602348,-2.0782327902147464,-2.0782327902147464
true_away_from_resonance,129,127,0.0078125,-64.14029108475552,64.14029108475552,19.738217925558274,131052.26178207443,-44.40207315919724,130988.12149098968,14.800691053065748,130988.12149098968,8850.135512007555,1,2,49.33960003168977,14.800691053065748,16126,3,0,,,-5.117231913939596,-1.170281993335947,-1.170281993335947
true_near_resonance_23_32,129,127,0.0078125,-128.26680662158992,128.26680662158992,19.738217925558274,131052.26178207443,-108.52858869603165,130923.99497545285,0.009999999999990905,130923.99497545285,13092399.497557193,2,3,128.25680662158993,0.009999999999990905,16121,8,2,"(2,3);(3,2)",0.01,-5.117019248769512,2.000000000000395,2.000000000000395
