n,h,fa_linf,fa_l2,fft9_linf,fft9_l2,fa_order_linf,fa_order_l2,fft9_order_linf,fft9_order_l2
33,0.03125,0.007566253292004443,0.0029191925145244458,2.0701539993117635e-05,1.0272619095775497e-05,nan,nan,nan,nan
65,0.015625,0.001931774715809187,0.0007254016110104254,1.3195313486868976e-06,6.537471705097884e-07,1.9696522172162378,2.008717502202413,3.971640563263175,3.9739274490564673
129,0.0078125,0.00048283134782178827,0.0001810775083176342,8.280337160382345e-08,4.1037276433712964e-08,2.0003356052106547,2.0021725894192945,3.994192302728518,3.993725906930764
257,0.00390625,0.00012072104818683371,4.5252350485852146e-05,5.185978979582728e-09,2.5675975047068927e-09,1.9998421085528906,2.0005427245598915,3.9970012492432456,3.998444016037395
