method,sigma,equation_type,rhs_type,bc_subtype,n,h,error,rate
FA,10.0,modified_H,eigenfunction,homogeneous,65,0.015625,0.00013328518571653625,2.00022917687449
FA,10.0,modified_H,eigenfunction,homogeneous,129,0.0078125,3.331997307043366e-05,2.0000572979191116
CR,10.0,modified_H,eigenfunction,homogeneous,9,0.125,0.0085587037414534,
CR,10.0,modified_H,eigenfunction,homogeneous,17,0.0625,0.002134256854729344,2.003658496906927
CR,10.0,modified_H,eigenfunction,homogeneous,33,0.03125,0.0005332254407584003,2.0009162931637823
CR,10.0,modified_H,eigenfunction,homogeneous,65,0.015625,0.00013328518571542602,2.000229176876895
CR,10.0,modified_H,eigenfunction,homogeneous,129,0.0078125,3.331997291833311e-05,2.0000573044927754
FACR,10.0,modified_H,eigenfunction,homogeneous,9,0.125,0.008558703741453177,
FACR,10.0,modified_H,eigenfunction,homogeneous,17,0.0625,0.002134256854730676,2.0036584969059885
FACR,10.0,modified_H,eigenfunction,homogeneous,33,0.03125,0.0005332254407590664,2.0009162931628808
FACR,10.0,modified_H,eigenfunction,homogeneous,65,0.015625,0.00013328518570965286,2.0002291769411866
FACR,10.0,modified_H,eigenfunction,homogeneous,129,0.0078125,3.331997287170374e-05,2.000057306449254
FFT9,10.0,modified_H,eigenfunction,homogeneous,9,0.125,4.343210781132534e-05,
FFT9,10.0,modified_H,eigenfunction,homogeneous,17,0.0625,2.7340856481039566e-06,3.9896316274780617
FFT9,10.0,modified_H,eigenfunction,homogeneous,33,0.03125,1.7117790052090243e-07,3.997490074118616
FFT9,10.0,modified_H,eigenfunction,homogeneous,65,0.015625,1.0703229746944487e-08,3.9993783513092187
FFT9,10.0,modified_H,eigenfunction,homogeneous,129,0.0078125,6.690594744895861e-10,3.999767930115274
FA,-5.0,true_H,eigenfunction,nonhom,9,0.125,0.10580519731979798,
FA,-5.0,true_H,eigenfunction,nonhom,17,0.0625,0.025308398725325087,2.0637223612375117
FA,-5.0,true_H,eigenfunction,nonhom,33,0.03125,0.006258625459925282,2.015698482729558
FA,-5.0,true_H,eigenfunction,nonhom,65,0.015625,0.0015604212001771867,2.0039103381426484
FA,-5.0,true_H,eigenfunction,nonhom,129,0.0078125,0.000389841290625359,2.0009766953238928
CR,-5.0,true_H,eigenfunction,nonhom,9,0.125,0.10580519731979754,
CR,-5.0,true_H,eigenfunction,nonhom,17,0.0625,0.02530839872532553,2.0637223612374807
CR,-5.0,true_H,eigenfunction,nonhom,33,0.03125,0.00625862545992506,2.015698482729635
CR,-5.0,true_H,eigenfunction,nonhom,65,0.015625,0.0015604212001756324,2.0039103381440344
CR,-5.0,true_H,eigenfunction,nonhom,129,0.0078125,0.0003898412906297999,2.0009766953060213
FACR,-5.0,true_H,eigenfunction,nonhom,9,0.125,0.10580519731979754,
FACR,-5.0,true_H,eigenfunction,nonhom,17,0.0625,0.02530839872532553,2.0637223612374807
FACR,-5.0,true_H,eigenfunction,nonhom,33,0.03125,0.006258625459925726,2.0156984827294813
FACR,-5.0,true_H,eigenfunction,nonhom,65,0.015625,0.0015604212001747442,2.003910338145009
FACR,-5.0,true_H,eigenfunction,nonhom,129,0.0078125,0.00038984129063868167,2.0009766952723314
FFT9,-5.0,true_H,eigenfunction,nonhom,9,0.125,0.00046308668157934996,
FFT9,-5.0,true_H,eigenfunction,nonhom,17,0.0625,1.1726407602052902e-05,5.303449250638368
FFT9,-5.0,true_H,eigenfunction,nonhom,33,0.03125,4.839810281431767e-07,4.598666804046736
FFT9,-5.0,true_H,eigenfunction,nonhom,65,0.015625,2.6436672850849163e-08,4.194337970468188
FFT9,-5.0,true_H,eigenfunction,nonhom,129,0.0078125,1.5930277097453427e-09,4.052697352982088
FA,0.0,Poisson,polynomial,polynomial,9,0.125,0.00021811793832217895,
FA,0.0,Poisson,polynomial,polynomial,17,0.0625,5.439282560313827e-05,2.003620145994255
FA,0.0,Poisson,polynomial,polynomial,33,0.03125,1.3590703225963528e-05,2.0007962653544134
FA,0.0,Poisson,polynomial,polynomial,65,0.015625,3.397223575082528e-06,2.0001920358123035
FA,0.0,Poisson,polynomial,polynomial,129,0.0078125,8.492778928266206e-07,2.000047565299266
CR,0.0,Poisson,polynomial,polynomial,9,0.125,0.00021811793832218068,
CR,0.0,Poisson,polynomial,polynomial,17,0.0625,5.439282560314087e-05,2.0036201459941974
CR,0.0,Poisson,polynomial,polynomial,33,0.03125,1.359070322595312e-05,2.000796265355587
CR,0.0,Poisson,polynomial,polynomial,65,0.015625,3.3972235750686502e-06,2.0001920358170917
CR,0.0,Poisson,polynomial,polynomial,129,0.0078125,8.492778921162514e-07,2.000047566500099
FACR,0.0,Poisson,polynomial,polynomial,9,0.125,0.00021811793832217981,
FACR,0.0,Poisson,polynomial,polynomial,17,0.0625,5.439282560314694e-05,2.003620145994031
FACR,0.0,Poisson,polynomial,polynomial,33,0.03125,1.3590703225952253e-05,2.00079626535584
FACR,0.0,Poisson,polynomial,polynomial,65,0.015625,3.3972235750209454e-06,2.0001920358372587
FACR,0.0,Poisson,polynomial,polynomial,129,0.0078125,8.492778918664512e-07,2.000047566904184
FFT9,0.0,Poisson,polynomial,polynomial,9,0.125,3.267271101984985e-06,
FFT9,0.0,Poisson,polynomial,polynomial,17,0.0625,2.0424771277321313e-07,3.9996943395918065
FFT9,0.0,Poisson,polynomial,polynomial,33,0.03125,1.2765648690470782e-08,3.9999811670075562
FFT9,0.0,Poisson,polynomial,polynomial,65,0.015625,7.978536581410012e-10,3.999998887968466
FFT9,0.0,Poisson,polynomial,polynomial,129,0.0078125,4.9866029708245385e-11,3.999994905907669
FA,10.0,modified_H,polynomial,polynomial,9,0.125,0.0001426586114731442,
